자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-02202,2017-09-01 00:13:39,00383,신당역 12번 출구 뒤,7,2017-09-01 00:20:34,00557,도선동 주민센터 앞,5,6,1170.00,1993,M,내국인,ST-198,ST-358,LCD자전거
SPB-00364,2017-09-01 00:09:42,00907,CJ 드림시티,2,2017-09-01 00:20:37,00901,응암1동사무소,9,10,1040.00,1990,F,내국인,ST-455,ST-449,LCD자전거
SPB-11656,2017-09-01 00:18:56,00933,역촌종합시장 버스정류장(예일여고 방면),2,2017-09-01 00:20:43,00932,예일여중,1,1,330.00,1974,M,내국인,ST-481,ST-480,LCD자전거
SPB-07523,2017-09-01 00:15:48,00113,홍대입구역 2번출구 앞,8,2017-09-01 00:20:51,00107,수협 연남동지점,4,4,30.00,1984,M,내국인,ST-18,ST-9,LCD자전거
SPB-06207,2017-09-01 00:06:09,00114,홍대입구역 8번출구 앞,12,2017-09-01 00:21:02,00155,가좌역1 번출구 앞,6,14,2090.00,1978,M,내국인,ST-20,ST-212,LCD자전거
SPB-02925,2017-09-01 00:09:42,00819,선린인터넷 고등학교,1,2017-09-01 00:21:03,00816,신용산역 6번출구 앞,7,11,2360.00,1993,F,내국인,ST-438,ST-435,LCD자전거
SPB-11026,2017-09-01 00:03:53,99998,상암센터,1,2017-09-01 00:21:15,00155,가좌역1 번출구 앞,10,17,1560.00,1994,M,내국인,ST-34,ST-212,LCD자전거
SPB-06337,2017-09-01 00:15:01,02020,장승배기역2번출구뒷편쪽,8,2017-09-01 00:21:29,02057,상도 아이파크 아파트,1,6,1020.00,1979,M,내국인,ST-690,ST-701,LCD자전거
SPB-11334,2017-09-01 00:10:32,02102,봉림교 교통섬,8,2017-09-01 00:21:40,02107,도림천 신화교,14,10,680.00,1979,M,내국인,ST-702,ST-713,LCD자전거
SPB-11583,2017-09-01 00:13:45,00347,동대문역사문화공원역 9번출구 앞,14,2017-09-01 00:22:07,00374,신당동주민센터앞,3,7,110.00,1989,M,내국인,ST-163,ST-189,LCD자전거
SPB-11479,2017-09-01 00:09:52,00119,서강나루 공원,6,2017-09-01 00:22:09,00146,마포역 2번출구 뒤,3,11,520.00,1992,M,내국인,ST-21,ST-204,LCD자전거
SPB-11963,2017-09-01 00:04:52,01001,광진교 남단 사거리(천호공원 방면),5,2017-09-01 00:22:09,01014,강동구평생학습관앞,15,16,1040.00,1997,M,내국인,ST-485,ST-498,LCD자전거
SPB-05620,2017-09-01 00:02:11,00560,비전교회 앞,8,2017-09-01 00:22:18,00579,마장역 4번출구,8,19,4500.00,1996,M,내국인,ST-361,ST-372,LCD자전거
SPB-09001,2017-09-01 00:04:46,01001,광진교 남단 사거리(천호공원 방면),9,2017-09-01 00:22:20,01014,강동구평생학습관앞,5,17,280.00,1997,M,내국인,ST-485,ST-498,LCD자전거
SPB-01681,2017-09-01 00:15:06,00341,혜화역 3번출구 뒤,3,2017-09-01 00:22:23,00344,성균관대 E하우스 앞,1,7,1160.00,1991,M,내국인,ST-157,ST-160,LCD자전거
SPB-00316,2017-09-01 00:09:29,00105,합정역 5번출구 앞,5,2017-09-01 00:22:26,00152,마포구민체육센터 앞,3,12,2010.00,1991,F,내국인,ST-7,ST-209,LCD자전거
SPB-04202,2017-09-01 00:17:59,00178,증산3교 앞,3,2017-09-01 00:22:30,00131,증산2교,5,4,680.00,1988,M,내국인,ST-349,ST-33,LCD자전거
SPB-07922,2017-09-01 00:02:25,01911,구로디지털단지역 앞,4,2017-09-01 00:22:35,01833,독산역 1번출구 A,7,19,960.00,1993,M,내국인,ST-668,ST-639,LCD자전거
SPB-03960,2017-09-01 00:14:42,00143,공덕역 2번출구,6,2017-09-01 00:22:37,00124,서강대 정문 건너편,18,7,0.00,1987,M,내국인,ST-201,ST-26,LCD자전거
SPB-00084,2017-09-01 00:18:46,00708,서울출입국관리사무소 앞,1,2017-09-01 00:22:38,00716,신정6동 주민센터 인근,4,3,750.00,1994,F,내국인,ST-315,ST-428,LCD자전거
SPB-06486,2017-09-01 00:06:34,00206,KBS 앞,17,2017-09-01 00:22:45,00257,신길삼거리(우리은행),1,15,2820.00,1991,M,내국인,ST-53,ST-305,LCD자전거
SPB-05643,2017-09-01 00:11:25,00408,LG CNS앞,18,2017-09-01 00:23:02,00402,상암월드컵파크 9단지 앞,13,11,850.00,1993,M,내국인,ST-84,ST-77,LCD자전거
SPB-07655,2017-09-01 00:19:26,01426,면목도시개발아파트 1동 앞,13,2017-09-01 00:23:36,00553,중곡 성원아파트 앞,10,3,780.00,1976,M,내국인,ST-590,ST-379,LCD자전거
SPB-05079,2017-09-01 00:17:30,00932,예일여중,1,2017-09-01 00:23:47,00916,평생학습관 앞,3,5,710.00,1999,F,내국인,ST-480,ST-464,LCD자전거
SPB-02350,2017-09-01 00:07:34,00147,마포역 4번출구 뒤,5,2017-09-01 00:23:54,00819,선린인터넷 고등학교,2,15,0.00,1995,M,내국인,ST-205,ST-438,LCD자전거
SPB-02939,2017-09-01 00:19:03,00253,신풍역 5번출구 인근,8,2017-09-01 00:23:56,00242,신길선원가와인아파트 앞,3,4,0.00,1992,M,내국인,ST-301,ST-291,LCD자전거
SPB-11846,2017-09-01 00:19:14,00359,원남동사거리,1,2017-09-01 00:24:01,00341,혜화역 3번출구 뒤,2,4,440.00,1994,M,내국인,ST-174,ST-157,LCD자전거
SPB-11832,2017-09-01 00:20:19,00508,성수아카데미타워 앞,8,2017-09-01 00:24:35,00507,성수아이에스비즈타워 앞,5,4,410.00,1986,M,내국인,ST-105,ST-104,LCD자전거
SPB-04128,2017-09-01 00:13:41,00818,숙명여대 입구 교차로,9,2017-09-01 00:25:00,00813,삼각지역 3번출구,9,10,1850.00,1979,F,내국인,ST-437,ST-334,LCD자전거
SPB-02024,2017-09-01 00:16:56,02135,신림역 5번출구,7,2017-09-01 00:25:01,02137,KT&G 관악지점,4,7,810.00,1991,M,내국인,ST-708,ST-723,LCD자전거
SPB-07259,2017-09-01 00:00:15,00159,이대역 4번 출구,3,2017-09-01 00:25:03,00110,사천교,2,24,3360.00,1974,M,내국인,ST-216,ST-13,LCD자전거
SPB-09169,2017-09-01 00:04:47,00400,상암한화오벨리스크 1차 앞,15,2017-09-01 00:25:09,00912,응암오거리,6,18,1730.00,1959,M,내국인,ST-110,ST-460,LCD자전거
SPB-12030,2017-09-01 00:20:59,00508,성수아카데미타워 앞,7,2017-09-01 00:25:19,00507,성수아이에스비즈타워 앞,2,4,410.00,1986,M,내국인,ST-105,ST-104,LCD자전거
SPB-03114,2017-09-01 00:09:33,00262,영문초등학교 사거리,4,2017-09-01 00:25:36,00229,양평1 보행육교 앞,20,15,2310.00,1988,M,내국인,ST-416,ST-279,LCD자전거
